VialID	box	rack	run	vials	atac	timecoursev2	run_real	POP	thaw_date	p3_date	lib_prep__date	p3_experimenter	lib_prep__experimenter	ash_num	index	COND	well	lib_1	lib_2	TP	IID	Age	Gender
AFB034			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			COV	B3	128	132	T6	AFB034	28	M
AFB034			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			IAV	B3	127	131	T6	AFB034	28	M
AFB034			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			NS	B3	129	133	T6	AFB034	28	M
AFB037			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			COV	B5	129	133	T6	AFB037	47	M
AFB037			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			IAV	B5	128	132	T6	AFB037	47	M
AFB037			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			NS	B5	130	134	T6	AFB037	47	M
AFB048			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			COV	B7	130	134	T6	AFB048	29	M
AFB048			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			IAV	B7	129	133	T6	AFB048	29	M
AFB048			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			NS	B7	127	131	T6	AFB048	29	M
AFB102			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			COV	B9	127	131	T6	AFB102	28	M
AFB102			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			IAV	B9	130	134	T6	AFB102	28	M
AFB102			15			FALSE	15	AFB	181021	191021	201021	ABYA	ABYA			NS	B9	128	132	T6	AFB102	28	M
EUB116			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			COV	D3	128	132	T6	EUB116	47	M
EUB116			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			IAV	D3	127	131	T6	EUB116	47	M
EUB116			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			NS	D3	129	133	T6	EUB116	47	M
EUB156			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			COV	D5	129	133	T6	EUB156	36	M
EUB156			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			IAV	D5	128	132	T6	EUB156	36	M
EUB156			15			FALSE	15	EUB	181021	191021	201021	ABYA	ABYA			NS	D5	130	134	T6	EUB156	36	M
